2024-10-13 17:05:57,615 - 가상 파일 크기 정보 생성 시작...
2024-10-13 17:05:57,617 - 총 10000개의 가상 파일 크기 정보 생성 완료!
2024-10-13 17:05:57,617 - Data Server가 0.0.0.0:5000에서 실행 중입니다...
2024-10-13 17:05:57,617 - 캐시 서버와 연결 중...
2024-10-13 17:06:03,306 - 캐시 서버 1 연결 완료: ('175.199.62.28', 61411)
2024-10-13 17:06:03,309 - 연결된 ('175.199.62.28', 61411)로부터 파일 요청 처리 시작
2024-10-13 17:06:05,569 - 캐시 서버 2 연결 완료: ('175.199.62.28', 61423)
2024-10-13 17:06:05,572 - 연결된 ('175.199.62.28', 61423)로부터 파일 요청 처리 시작
2024-10-13 17:06:05,573 - 클라이언트 연결 대기 중...
2024-10-13 17:06:08,631 - 클라이언트 연결 완료: ('175.199.62.28', 61439)
2024-10-13 17:06:15,468 - 파일 전송 시작: 파일 번호 219, 크기 219 KB, 예상 소요 시간 0.11초
2024-10-13 17:06:15,468 - 파일 전송 완료: 파일 번호 219, 크기 219 KB, 실제 소요 시간 0.11초
2024-10-13 17:06:15,468 - 파일 전송 시작: 파일 번호 220, 크기 220 KB, 예상 소요 시간 0.11초
2024-10-13 17:06:15,468 - 파일 전송 완료: 파일 번호 220, 크기 220 KB, 실제 소요 시간 0.11초
2024-10-13 17:06:15,468 - 파일 전송 시작: 파일 번호 222, 크기 222 KB, 예상 소요 시간 0.11초
2024-10-13 17:06:15,469 - 파일 전송 완료: 파일 번호 222, 크기 222 KB, 실제 소요 시간 0.11초
2024-10-13 17:06:15,469 - 파일 전송 시작: 파일 번호 223, 크기 223 KB, 예상 소요 시간 0.11초
2024-10-13 17:06:15,470 - 파일 전송 완료: 파일 번호 223, 크기 223 KB, 실제 소요 시간 0.11초
2024-10-13 17:06:15,470 - 파일 전송 시작: 파일 번호 226, 크기 226 KB, 예상 소요 시간 0.11초
2024-10-13 17:06:15,470 - 파일 전송 완료: 파일 번호 226, 크기 226 KB, 실제 소요 시간 0.11초
2024-10-13 17:06:15,470 - 파일 전송 시작: 파일 번호 229, 크기 229 KB, 예상 소요 시간 0.11초
2024-10-13 17:06:15,470 - 파일 전송 완료: 파일 번호 229, 크기 229 KB, 실제 소요 시간 0.11초
2024-10-13 17:06:15,470 - 파일 전송 시작: 파일 번호 231, 크기 231 KB, 예상 소요 시간 0.12초
2024-10-13 17:06:15,470 - 파일 전송 완료: 파일 번호 231, 크기 231 KB, 실제 소요 시간 0.12초
2024-10-13 17:06:15,470 - 파일 전송 시작: 파일 번호 234, 크기 234 KB, 예상 소요 시간 0.12초
2024-10-13 17:06:15,471 - 파일 전송 완료: 파일 번호 234, 크기 234 KB, 실제 소요 시간 0.12초
2024-10-13 17:06:15,471 - 파일 전송 시작: 파일 번호 240, 크기 240 KB, 예상 소요 시간 0.12초
2024-10-13 17:06:15,471 - 파일 전송 완료: 파일 번호 240, 크기 240 KB, 실제 소요 시간 0.12초
2024-10-13 17:06:15,471 - 파일 전송 시작: 파일 번호 243, 크기 243 KB, 예상 소요 시간 0.12초
2024-10-13 17:06:15,471 - 파일 전송 완료: 파일 번호 243, 크기 243 KB, 실제 소요 시간 0.12초
2024-10-13 17:06:15,471 - 파일 전송 시작: 파일 번호 246, 크기 246 KB, 예상 소요 시간 0.12초
2024-10-13 17:06:15,471 - 파일 전송 완료: 파일 번호 246, 크기 246 KB, 실제 소요 시간 0.12초
2024-10-13 17:06:15,471 - 파일 전송 시작: 파일 번호 247, 크기 247 KB, 예상 소요 시간 0.12초
2024-10-13 17:06:15,472 - 파일 전송 완료: 파일 번호 247, 크기 247 KB, 실제 소요 시간 0.12초
2024-10-13 17:06:15,472 - 파일 전송 시작: 파일 번호 249, 크기 249 KB, 예상 소요 시간 0.12초
2024-10-13 17:06:15,472 - 파일 전송 완료: 파일 번호 249, 크기 249 KB, 실제 소요 시간 0.12초
2024-10-13 17:06:15,472 - 파일 전송 시작: 파일 번호 255, 크기 255 KB, 예상 소요 시간 0.13초
2024-10-13 17:06:15,472 - 파일 전송 완료: 파일 번호 255, 크기 255 KB, 실제 소요 시간 0.13초
